物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
ワコーレエレガンス行田第2 2階,https://suumo.jp/chintai/bc_100378815468/,https://img01.suumo.com/front/gazo/fr/bukken/468/100378815468/100378815468_gw.jpg,27000,3000円,1K,17.93m2,-,マンション,築34年,埼玉県行田市門井町３,ＪＲ高崎線/行田駅 歩19分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ダリア 1階,https://suumo.jp/chintai/bc_100378815550/,https://img01.suumo.com/front/gazo/fr/bukken/550/100378815550/100378815550_gw.jpg,27000,3000円,ワンルーム,16m2,南西,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩10分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
リコリスB 1階,https://suumo.jp/chintai/bc_100357325490/,https://img01.suumo.com/front/gazo/fr/bukken/490/100357325490/100357325490_gw.jpg,27000,3000円,1K,12.6m2,南,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
リコリスA 1階,https://suumo.jp/chintai/bc_100341365842/,https://img01.suumo.com/front/gazo/fr/bukken/842/100341365842/100341365842_gw.jpg,27000,3000円,1K,12.1m2,南,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
湘南平塚コート 3階,https://suumo.jp/chintai/bc_100365391872/,https://img01.suumo.com/front/gazo/fr/bukken/872/100365391872/100365391872_gw.jpg,27000,5000円,ワンルーム,17.77m2,東,マンション,築30年,神奈川県平塚市河内,ＪＲ東海道本線/平塚駅 バス20分 (バス停)河内 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ハイム三田 2階,https://suumo.jp/chintai/bc_100373805509/,https://img01.suumo.com/front/gazo/fr/bukken/509/100373805509/100373805509_gw.jpg,28000,3000円,ワンルーム,12m2,東,マンション,築39年,神奈川県川崎市多摩区三田１,小田急線/生田駅 歩7分,-,-,-,-,アパルトマンエージェント(株)東京支社,03-5822-1087
エスポワール・II 1階,https://suumo.jp/chintai/bc_100378815535/,https://img01.suumo.com/front/gazo/fr/bukken/535/100378815535/100378815535_gw.jpg,29000,2000円,1K,17.57m2,南,アパート,築18年,栃木県宇都宮市上大曽町,ＪＲ日光線/宇都宮駅 バス14分 (バス停)河内庁舎正門 歩7分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
シャルマンフジ熊谷壱番館 3階,https://suumo.jp/chintai/bc_100376516621/,https://img01.suumo.com/front/gazo/fr/bukken/621/100376516621/100376516621_gw.jpg,29000,3000円,1K,18.5m2,南東,マンション,築34年,埼玉県熊谷市見晴町,ＪＲ高崎線/熊谷駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
フリーダムＢ棟 1階,https://suumo.jp/chintai/bc_100376516689/,https://img01.suumo.com/front/gazo/fr/bukken/689/100376516689/100376516689_gw.jpg,29000,3000円,1K,16.9m2,北東,アパート,築37年,埼玉県鶴ヶ島市富士見５,東武東上線/若葉駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
佐竹ビル 4階,https://suumo.jp/chintai/bc_100361697444/,https://img01.suumo.com/front/gazo/fr/bukken/444/100361697444/100361697444_gw.jpg,29000,6000円,ワンルーム,3.2m2,-,マンション,築57年,東京都新宿区新宿２,都営新宿線/新宿三丁目駅 歩5分,-,-,3万円,3万円,(株)オッズ・スペース,03-5846-9399
モトミハウス 3階,https://suumo.jp/chintai/bc_100136684975/,https://img01.suumo.com/front/gazo/fr/bukken/975/100136684975/100136684975_rw.jpg,29800,-,3DK,52.89m2,-,マンション,築52年,群馬県桐生市境野町２,ＪＲ両毛線/桐生駅 歩31分,-,-,-,-,不動産通信社 (株)ユウラク,03-5205-8424
メモリーヒルズ 2階,https://suumo.jp/chintai/bc_100381569837/,https://img01.suumo.com/front/gazo/fr/bukken/837/100381569837/100381569837_gw.jpg,30000,-,1K,17.95m2,南,アパート,築31年,東京都立川市若葉町２,ＪＲ中央線/国立駅 バス9分 (バス停)変電所前 歩2分,-,-,-,-,(有)東京学生センター本社,03-3221-1239
ペアパレス朝霞 3階,https://suumo.jp/chintai/bc_100371706179/,https://img01.suumo.com/front/gazo/fr/bukken/179/100371706179/100371706179_gw.jpg,30000,1000円,ワンルーム,10.75m2,-,マンション,築38年,埼玉県朝霞市栄町４,東武東上線/朝霞駅 歩16分,-,-,-,-,日本中央管理(株),050-3503-2308
コーポ小山 1階,https://suumo.jp/chintai/bc_100214737721/,https://img01.suumo.com/front/gazo/fr/bukken/721/100214737721/100214737721_gw.jpg,30000,2000円,ワンルーム,16m2,北西,マンション,築39年,東京都北区岩淵町,東京メトロ南北線/赤羽岩淵駅 歩4分,3万円,3万円,-,-,お茶の水賃貸センター (株)総伸,03-3292-4461
ザ・ファースト西所沢 2階,https://suumo.jp/chintai/bc_100376516671/,https://img01.suumo.com/front/gazo/fr/bukken/671/100376516671/100376516671_gw.jpg,30000,2000円,1K,15.66m2,西,アパート,築38年,埼玉県所沢市西所沢２,西武池袋線/西所沢駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
クーノス北坂戸 4階,https://suumo.jp/chintai/bc_100378815557/,https://img01.suumo.com/front/gazo/fr/bukken/557/100378815557/100378815557_gw.jpg,30000,3000円,1K,21.51m2,南,マンション,築38年,埼玉県坂戸市芦山町,東武東上線/北坂戸駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
アザレア 2階,https://suumo.jp/chintai/bc_100378815561/,https://img01.suumo.com/front/gazo/fr/bukken/561/100378815561/100378815561_gw.jpg,30000,3000円,1K,18.49m2,東,アパート,築36年,埼玉県東松山市元宿２,東武東上線/高坂駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
都立家政 ワンルーム 2階,https://suumo.jp/chintai/bc_100377397150/,https://img01.suumo.com/front/gazo/fr/bukken/150/100377397150/100377397150_gw.jpg,30000,17000円,ワンルーム,8.28m2,南,アパート,築45年,東京都中野区若宮１,西武新宿線/都立家政駅 歩4分,-,-,-,-,ファミーユホーム(株)ピーアイホーム,03-6910-0383
