物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
ワコーレエレガンス行田第2 2階,https://suumo.jp/chintai/bc_100378815468/,https://img01.suumo.com/front/gazo/fr/bukken/468/100378815468/100378815468_gw.jpg,27000,3000円,1K,17.93m2,-,マンション,築34年,埼玉県行田市門井町３,ＪＲ高崎線/行田駅 歩19分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ダリア 1階,https://suumo.jp/chintai/bc_100378815550/,https://img01.suumo.com/front/gazo/fr/bukken/550/100378815550/100378815550_gw.jpg,27000,3000円,ワンルーム,16m2,南西,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩10分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
リコリスB 1階,https://suumo.jp/chintai/bc_100357325490/,https://img01.suumo.com/front/gazo/fr/bukken/490/100357325490/100357325490_gw.jpg,27000,3000円,1K,12.6m2,南,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
リコリスA 1階,https://suumo.jp/chintai/bc_100341365842/,https://img01.suumo.com/front/gazo/fr/bukken/842/100341365842/100341365842_gw.jpg,27000,3000円,1K,12.1m2,南,アパート,築33年,埼玉県東松山市元宿１,東武東上線/高坂駅 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
湘南平塚コート 3階,https://suumo.jp/chintai/bc_100365391872/,https://img01.suumo.com/front/gazo/fr/bukken/872/100365391872/100365391872_gw.jpg,27000,5000円,ワンルーム,17.77m2,東,マンション,築30年,神奈川県平塚市河内,ＪＲ東海道本線/平塚駅 バス20分 (バス停)河内 歩9分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ハイム三田 2階,https://suumo.jp/chintai/bc_100373805509/,https://img01.suumo.com/front/gazo/fr/bukken/509/100373805509/100373805509_gw.jpg,28000,3000円,ワンルーム,12m2,東,マンション,築39年,神奈川県川崎市多摩区三田１,小田急線/生田駅 歩7分,-,-,-,-,アパルトマンエージェント(株)東京支社,03-5822-1087
エスポワール・II 1階,https://suumo.jp/chintai/bc_100378815535/,https://img01.suumo.com/front/gazo/fr/bukken/535/100378815535/100378815535_gw.jpg,29000,2000円,1K,17.57m2,南,アパート,築18年,栃木県宇都宮市上大曽町,ＪＲ日光線/宇都宮駅 バス14分 (バス停)河内庁舎正門 歩7分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
シャルマンフジ熊谷壱番館 3階,https://suumo.jp/chintai/bc_100376516621/,https://img01.suumo.com/front/gazo/fr/bukken/621/100376516621/100376516621_gw.jpg,29000,3000円,1K,18.5m2,南東,マンション,築34年,埼玉県熊谷市見晴町,ＪＲ高崎線/熊谷駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
フリーダムＢ棟 1階,https://suumo.jp/chintai/bc_100376516689/,https://img01.suumo.com/front/gazo/fr/bukken/689/100376516689/100376516689_gw.jpg,29000,3000円,1K,16.9m2,北東,アパート,築37年,埼玉県鶴ヶ島市富士見５,東武東上線/若葉駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
佐竹ビル 4階,https://suumo.jp/chintai/bc_100361697444/,https://img01.suumo.com/front/gazo/fr/bukken/444/100361697444/100361697444_gw.jpg,29000,6000円,ワンルーム,3.2m2,-,マンション,築57年,東京都新宿区新宿２,都営新宿線/新宿三丁目駅 歩5分,-,-,3万円,3万円,(株)オッズ・スペース,03-5846-9399
モトミハウス 3階,https://suumo.jp/chintai/bc_100136684975/,https://img01.suumo.com/front/gazo/fr/bukken/975/100136684975/100136684975_rw.jpg,29800,-,3DK,52.89m2,-,マンション,築52年,群馬県桐生市境野町２,ＪＲ両毛線/桐生駅 歩31分,-,-,-,-,不動産通信社 (株)ユウラク,03-5205-8424
メモリーヒルズ 2階,https://suumo.jp/chintai/bc_100381569837/,https://img01.suumo.com/front/gazo/fr/bukken/837/100381569837/100381569837_gw.jpg,30000,-,1K,17.95m2,南,アパート,築31年,東京都立川市若葉町２,ＪＲ中央線/国立駅 バス9分 (バス停)変電所前 歩2分,-,-,-,-,(有)東京学生センター本社,03-3221-1239
ペアパレス朝霞 3階,https://suumo.jp/chintai/bc_100371706179/,https://img01.suumo.com/front/gazo/fr/bukken/179/100371706179/100371706179_gw.jpg,30000,1000円,ワンルーム,10.75m2,-,マンション,築38年,埼玉県朝霞市栄町４,東武東上線/朝霞駅 歩16分,-,-,-,-,日本中央管理(株),050-3503-2308
コーポ小山 1階,https://suumo.jp/chintai/bc_100214737721/,https://img01.suumo.com/front/gazo/fr/bukken/721/100214737721/100214737721_gw.jpg,30000,2000円,ワンルーム,16m2,北西,マンション,築39年,東京都北区岩淵町,東京メトロ南北線/赤羽岩淵駅 歩4分,3万円,3万円,-,-,お茶の水賃貸センター (株)総伸,03-3292-4461
ザ・ファースト西所沢 2階,https://suumo.jp/chintai/bc_100376516671/,https://img01.suumo.com/front/gazo/fr/bukken/671/100376516671/100376516671_gw.jpg,30000,2000円,1K,15.66m2,西,アパート,築38年,埼玉県所沢市西所沢２,西武池袋線/西所沢駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
クーノス北坂戸 4階,https://suumo.jp/chintai/bc_100378815557/,https://img01.suumo.com/front/gazo/fr/bukken/557/100378815557/100378815557_gw.jpg,30000,3000円,1K,21.51m2,南,マンション,築38年,埼玉県坂戸市芦山町,東武東上線/北坂戸駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
アザレア 2階,https://suumo.jp/chintai/bc_100378815561/,https://img01.suumo.com/front/gazo/fr/bukken/561/100378815561/100378815561_gw.jpg,30000,3000円,1K,18.49m2,東,アパート,築36年,埼玉県東松山市元宿２,東武東上線/高坂駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
都立家政 ワンルーム 2階,https://suumo.jp/chintai/bc_100377397150/,https://img01.suumo.com/front/gazo/fr/bukken/150/100377397150/100377397150_gw.jpg,30000,17000円,ワンルーム,8.28m2,南,アパート,築45年,東京都中野区若宮１,西武新宿線/都立家政駅 歩4分,-,-,-,-,ファミーユホーム(株)ピーアイホーム,03-6910-0383
リバーコープ麻生 3階,https://suumo.jp/chintai/bc_100373767860/,https://img01.suumo.com/front/gazo/fr/bukken/860/100373767860/100373767860_gw.jpg,31000,1000円,1K,17.08m2,南東,マンション,築38年,神奈川県川崎市麻生区上麻生５,小田急線/柿生駅 歩10分,3.1万円,3.1万円,-,-,三井ホームエステート(株)世田谷多摩営業部,03-5226-9131
エステートピアホッタ 2階,https://suumo.jp/chintai/bc_100380298747/,https://img01.suumo.com/front/gazo/fr/bukken/747/100380298747/100380298747_rw.jpg,31000,2000円,1K,19.87m2,南,アパート,築38年,埼玉県入間郡毛呂山町岩井西２,東武越生線/東毛呂駅 歩1分,-,-,-,-,(株)オッズ・スペース,03-5846-9399
エステートピアホッタ 2階,https://suumo.jp/chintai/bc_100380298741/,https://img01.suumo.com/front/gazo/fr/bukken/741/100380298741/100380298741_rw.jpg,31000,2000円,1K,19.87m2,南,アパート,築38年,埼玉県入間郡毛呂山町岩井西２,東武越生線/東毛呂駅 歩1分,-,-,-,-,(株)オッズ・スペース,03-5846-9399
エステートピアホッタ 2階,https://suumo.jp/chintai/bc_100380298757/,https://img01.suumo.com/front/gazo/fr/bukken/757/100380298757/100380298757_rw.jpg,31000,2000円,1K,19.87m2,南,アパート,築38年,埼玉県入間郡毛呂山町岩井西２,東武越生線/東毛呂駅 歩1分,-,-,-,-,(株)オッズ・スペース,03-5846-9399
ニュー双葉マンション2号棟 2階,https://suumo.jp/chintai/bc_100376516601/,https://img01.suumo.com/front/gazo/fr/bukken/601/100376516601/100376516601_gw.jpg,31000,3000円,1K,28.3m2,南,マンション,築46年,栃木県宇都宮市双葉２,東武宇都宮線/江曽島駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
クーノス北坂戸 2階,https://suumo.jp/chintai/bc_100376516617/,https://img01.suumo.com/front/gazo/fr/bukken/617/100376516617/100376516617_gw.jpg,31000,3000円,1K,21.8m2,南,マンション,築38年,埼玉県坂戸市芦山町,東武東上線/北坂戸駅 歩6分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ラデヴィーナ鴻巣II 3階,https://suumo.jp/chintai/bc_100376516688/,https://img01.suumo.com/front/gazo/fr/bukken/688/100376516688/100376516688_gw.jpg,31000,3000円,1K,21.22m2,南西,マンション,築39年,埼玉県鴻巣市人形２,ＪＲ高崎線/鴻巣駅 歩15分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
グランヴェールハル 1階,https://suumo.jp/chintai/bc_100378815527/,https://img01.suumo.com/front/gazo/fr/bukken/527/100378815527/100378815527_gw.jpg,32000,3000円,ワンルーム,17m2,東,マンション,築37年,埼玉県草加市弁天２,東武伊勢崎線/獨協大学前駅 バス3分 (バス停)弁天町 歩20分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
グランヴェールハル 3階,https://suumo.jp/chintai/bc_100378815536/,https://img01.suumo.com/front/gazo/fr/bukken/536/100378815536/100378815536_gw.jpg,32000,3000円,ワンルーム,17m2,南,マンション,築37年,埼玉県草加市弁天２,東武伊勢崎線/獨協大学前駅 バス3分 (バス停)弁天町 歩20分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
テラスT&H 1階,https://suumo.jp/chintai/bc_100331869280/,https://img01.suumo.com/front/gazo/fr/bukken/280/100331869280/100331869280_gw.jpg,32000,3000円,ワンルーム,14.5m2,北西,アパート,築39年,神奈川県川崎市多摩区東三田３,小田急線/向ヶ丘遊園駅 バス5分 (バス停)専修大学１２０年記念館 歩4分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
キャピタル八柱 1階,https://suumo.jp/chintai/bc_100378815553/,https://img01.suumo.com/front/gazo/fr/bukken/553/100378815553/100378815553_gw.jpg,32000,3000円,ワンルーム,12.07m2,西,アパート,築37年,千葉県松戸市日暮３,新京成線/八柱駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ラビアン栄町 1階,https://suumo.jp/chintai/bc_000097972949/,https://img01.suumo.com/front/gazo/fr/bukken/949/97972949/97972949_gw.jpg,33000,-,ワンルーム,15m2,南,アパート,築33年,東京都小平市小川西町１,西武拝島線/小川駅 歩15分,3.3万円,-,-,-,(有)東京学生センター本社,03-3221-1239
エスペランサ喜沢 4階,https://suumo.jp/chintai/bc_100362813607/,https://img01.suumo.com/front/gazo/fr/bukken/607/100362813607/100362813607_gw.jpg,33000,2000円,ワンルーム,23.8m2,南,マンション,築35年,栃木県小山市大字喜沢,ＪＲ宇都宮線/小山駅 歩37分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
アルムコーポ深谷 1階,https://suumo.jp/chintai/bc_100376516676/,https://img01.suumo.com/front/gazo/fr/bukken/676/100376516676/100376516676_gw.jpg,33000,2000円,ワンルーム,16.17m2,南西,マンション,築25年,埼玉県深谷市上柴町西５,ＪＲ高崎線/深谷駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ウィン読売ランド 1階,https://suumo.jp/chintai/bc_100374648985/,https://img01.suumo.com/front/gazo/fr/bukken/985/100374648985/100374648985_gw.jpg,33000,4000円,ワンルーム,19.8m2,南東,マンション,築32年,神奈川県川崎市麻生区細山６,小田急線/読売ランド前駅 歩15分,-,-,-,-,アパルトマンエージェント(株)東京支社,03-5822-1087
ロマーヌ水戸第三 3階,https://suumo.jp/chintai/bc_100357487333/,https://img01.suumo.com/front/gazo/fr/bukken/333/100357487333/100357487333_gw.jpg,33000,6000円,ワンルーム,16.04m2,北東,マンション,築33年,茨城県水戸市城南３,ＪＲ常磐線/水戸駅 歩5分,-,3.3万円,-,-,リブマックス神田店(株)リブマックスリーシング,03-5295-1515
ロマーヌ水戸第三 3階,https://suumo.jp/chintai/bc_100356951037/,https://img01.suumo.com/front/gazo/fr/bukken/037/100356951037/100356951037_gw.jpg,33000,6000円,ワンルーム,16.04m2,北東,マンション,築33年,茨城県水戸市城南３,ＪＲ常磐線/水戸駅 歩5分,-,3.3万円,-,-,リブマックス秋葉原店(株)リブ・マックス,03-5297-8877
アーバンヒルズ西八王子第二 3階,https://suumo.jp/chintai/bc_100365037402/,https://img01.suumo.com/front/gazo/fr/bukken/402/100365037402/100365037402_gw.jpg,33000,7000円,ワンルーム,18.2m2,南西,マンション,築33年,東京都八王子市千人町２,ＪＲ中央線/西八王子駅 歩6分,-,-,-,-,(株)COLORS,03-6206-0627
メゾン若木 2階,https://suumo.jp/chintai/bc_100371207555/,https://img01.suumo.com/front/gazo/fr/bukken/555/100371207555/100371207555_gw.jpg,34000,-,1K,17.39m2,南東,アパート,築32年,東京都板橋区若木２,東武東上線/東武練馬駅 歩13分,3.4万円,3.4万円,-,-,(株)ボルテックス,03-6893-5670
グリーンガーデンNo.1 1階,https://suumo.jp/chintai/bc_100365391776/,https://img01.suumo.com/front/gazo/fr/bukken/776/100365391776/100365391776_gw.jpg,34000,3000円,1LDK,41.6m2,南西,アパート,築35年,栃木県鹿沼市千渡,ＪＲ日光線/鹿沼駅 歩23分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
クラランス新鹿沼　旧石川アパート 2階,https://suumo.jp/chintai/bc_100365391856/,https://img01.suumo.com/front/gazo/fr/bukken/856/100365391856/100365391856_gw.jpg,34000,3000円,2DK,37.59m2,北西,アパート,築35年,栃木県鹿沼市朝日町,東武日光線/新鹿沼駅 歩18分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
第1あそうコーポ 1階,https://suumo.jp/chintai/bc_100372848943/,https://img01.suumo.com/front/gazo/fr/bukken/943/100372848943/100372848943_gw.jpg,34000,3000円,1LDK,37.5m2,西,アパート,築43年,千葉県茂原市下永吉,ＪＲ外房線/茂原駅 歩24分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
第2あそうコーポ 1階,https://suumo.jp/chintai/bc_100372848942/,https://img01.suumo.com/front/gazo/fr/bukken/942/100372848942/100372848942_gw.jpg,34000,3000円,1LDK,37.27m2,北,アパート,築42年,千葉県茂原市下永吉,ＪＲ外房線/茂原駅 歩24分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ハイムネギシ 1階,https://suumo.jp/chintai/bc_100376516565/,https://img01.suumo.com/front/gazo/fr/bukken/565/100376516565/100376516565_gw.jpg,34000,3000円,2K,30.64m2,北西,アパート,築46年,埼玉県熊谷市銀座４,ＪＲ高崎線/熊谷駅 歩14分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
白鍬グランデ 3階,https://suumo.jp/chintai/bc_100378815500/,https://img01.suumo.com/front/gazo/fr/bukken/500/100378815500/100378815500_gw.jpg,34000,3000円,1K,20.55m2,南,マンション,築34年,埼玉県さいたま市桜区大字白鍬,ＪＲ埼京線/与野本町駅 歩28分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ロマーヌ水戸第6 8階,https://suumo.jp/chintai/bc_100357487326/,https://img01.suumo.com/front/gazo/fr/bukken/326/100357487326/100357487326_gw.jpg,34000,6000円,ワンルーム,16.2m2,北西,マンション,築34年,茨城県水戸市宮町２,ＪＲ常磐線/水戸駅 歩5分,-,3.4万円,-,-,リブマックス神田店(株)リブマックスリーシング,03-5295-1515
ロマーヌ水戸第6 8階,https://suumo.jp/chintai/bc_100354317003/,https://img01.suumo.com/front/gazo/fr/bukken/003/100354317003/100354317003_gw.jpg,34000,6000円,ワンルーム,16.2m2,北西,マンション,築34年,茨城県水戸市宮町２,ＪＲ常磐線/水戸駅 歩5分,-,3.4万円,-,-,リブマックス秋葉原店(株)リブ・マックス,03-5297-8877
リバーコープ麻生 3階,https://suumo.jp/chintai/bc_100336760739/,https://img01.suumo.com/front/gazo/fr/bukken/739/100336760739/100336760739_gw.jpg,35000,-,1K,17.38m2,南東,マンション,築38年,神奈川県川崎市麻生区上麻生５,小田急線/柿生駅 歩10分,3.5万円,-,-,-,三井ホームエステート(株)世田谷多摩営業部,03-5226-9131
志村三丁目 1K 1階,https://suumo.jp/chintai/bc_100369166109/,https://img01.suumo.com/front/gazo/fr/bukken/109/100369166109/100369166109_gw.jpg,35000,-,1K,12m2,-,アパート,築33年,東京都板橋区中台１,都営三田線/志村三丁目駅 歩17分,-,-,-,-,(株)東京めぞん,03-5280-7180
志村三丁目 1K 1階,https://suumo.jp/chintai/bc_100369166090/,https://img01.suumo.com/front/gazo/fr/bukken/090/100369166090/100369166090_gw.jpg,35000,-,1K,12m2,-,アパート,築33年,東京都板橋区中台１,都営三田線/志村三丁目駅 歩17分,-,-,-,-,(株)東京めぞん,03-5280-7180
エルパラシオ 2階,https://suumo.jp/chintai/bc_100362813606/,https://img01.suumo.com/front/gazo/fr/bukken/606/100362813606/100362813606_gw.jpg,35000,2000円,ワンルーム,22.28m2,南西,マンション,築41年,群馬県高崎市飯塚町,ＪＲ高崎線/高崎駅 バス12分 (バス停)芝塚 歩4分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
アルムコーポ2号館 3階,https://suumo.jp/chintai/bc_100378210648/,https://img01.suumo.com/front/gazo/fr/bukken/648/100378210648/100378210648_gw.jpg,35000,2000円,1K,17.6m2,北西,マンション,築27年,埼玉県熊谷市新堀,ＪＲ高崎線/籠原駅 歩4分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
宮前ビル 6階,https://suumo.jp/chintai/bc_100376516713/,https://img01.suumo.com/front/gazo/fr/bukken/713/100376516713/100376516713_gw.jpg,35000,3000円,ワンルーム,20.8m2,南東,マンション,築35年,埼玉県熊谷市宮前町１,ＪＲ高崎線/熊谷駅 歩10分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
セプトハイツ 1階,https://suumo.jp/chintai/bc_100378815508/,https://img01.suumo.com/front/gazo/fr/bukken/508/100378815508/100378815508_gw.jpg,35000,3000円,ワンルーム,13.54m2,南東,アパート,築31年,埼玉県さいたま市岩槻区西町１,東武野田線/岩槻駅 歩1分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
北千住 ワンルーム 1階,https://suumo.jp/chintai/bc_100381038334/,https://img01.suumo.com/front/gazo/fr/bukken/334/100381038334/100381038334_gw.jpg,35000,3000円,ワンルーム,10.6m2,-,マンション,築35年,東京都足立区千住宮元町,東京メトロ日比谷線/北千住駅 歩15分,-,-,-,-,(株)東京めぞん,03-5280-7180
三ノ輪 ワンルーム 2階,https://suumo.jp/chintai/bc_100381038330/,https://img01.suumo.com/front/gazo/fr/bukken/330/100381038330/100381038330_gw.jpg,35000,3000円,ワンルーム,7.86m2,-,マンション,築36年,東京都台東区千束４,東京メトロ日比谷線/三ノ輪駅 歩10分,-,-,-,-,(株)東京めぞん,03-5280-7180
メゾンフェリカ 2階,https://suumo.jp/chintai/bc_100378210636/,https://img01.suumo.com/front/gazo/fr/bukken/636/100378210636/100378210636_gw.jpg,35000,4000円,1K,14.3m2,北東,マンション,築30年,埼玉県春日部市粕壁１,東武伊勢崎線/春日部駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
八千代台第27レジデンス 2階,https://suumo.jp/chintai/bc_100367740750/,https://img01.suumo.com/front/gazo/fr/bukken/750/100367740750/100367740750_gw.jpg,35000,4500円,1DK,25.65m2,南西,アパート,築33年,千葉県八千代市八千代台東５,京成本線/京成大和田駅 歩11分,-,-,-,-,(株)オッズ・スペース,03-5846-9399
志村三丁目 1K 2階,https://suumo.jp/chintai/bc_100369166106/,https://img01.suumo.com/front/gazo/fr/bukken/106/100369166106/100369166106_gw.jpg,36000,-,1K,11m2,-,アパート,築33年,東京都板橋区中台１,都営三田線/志村三丁目駅 歩17分,-,-,-,-,(株)東京めぞん,03-5280-7180
メゾンプレステージ 1階,https://suumo.jp/chintai/bc_100372207329/,https://img01.suumo.com/front/gazo/fr/bukken/329/100372207329/100372207329_gw.jpg,36000,2000円,1K,20.46m2,南西,アパート,築33年,埼玉県新座市北野２,東武東上線/志木駅 歩18分,-,-,-,-,(有)東京学生センター本社,03-3221-1239
スターマンションII 2階,https://suumo.jp/chintai/bc_100376516673/,https://img01.suumo.com/front/gazo/fr/bukken/673/100376516673/100376516673_gw.jpg,36000,3000円,ワンルーム,16.2m2,西,マンション,築34年,埼玉県新座市栗原６,西武池袋線/ひばりヶ丘駅 歩13分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ユニーブル保土ヶ谷 2階,https://suumo.jp/chintai/bc_100376025616/,https://img01.suumo.com/front/gazo/fr/bukken/616/100376025616/100376025616_gw.jpg,36000,3000円,ワンルーム,16.2m2,-,マンション,築34年,神奈川県横浜市保土ヶ谷区瀬戸ケ谷町,ＪＲ横須賀線/保土ケ谷駅 歩9分,3.6万円,-,-,-,(株)ユニホー東京支店管理業務課,03-3263-4301
三ノ輪 ワンルーム 4階,https://suumo.jp/chintai/bc_100381334615/,https://img01.suumo.com/front/gazo/fr/bukken/615/100381334615/100381334615_gw.jpg,36000,3000円,ワンルーム,7.86m2,-,マンション,築36年,東京都台東区千束４,東京メトロ日比谷線/三ノ輪駅 歩10分,-,-,-,-,(株)東京めぞん,03-5280-7180
マーガレット 1階,https://suumo.jp/chintai/bc_100371535106/,https://img01.suumo.com/front/gazo/fr/bukken/106/100371535106/100371535106_gw.jpg,36000,4000円,1K,12.71m2,-,アパート,築38年,埼玉県志木市本町６,東武東上線/志木駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
学芸大学 ワンルーム 3階,https://suumo.jp/chintai/bc_100381972590/,https://img01.suumo.com/front/gazo/fr/bukken/590/100381972590/100381972590_gw.jpg,36000,5000円,ワンルーム,33m2,-,アパート,築13年,東京都目黒区目黒本町１,東急東横線/学芸大学駅 歩12分,-,-,-,-,ファミーユホーム(株)ピーアイホーム,03-6910-0383
スカイコート柏 2階,https://suumo.jp/chintai/bc_100352685375/,https://img01.suumo.com/front/gazo/fr/bukken/375/100352685375/100352685375_gw.jpg,36000,11000円,ワンルーム,17.98m2,東,マンション,築30年,千葉県柏市北柏２,ＪＲ常磐線/北柏駅 歩3分,-,3.6万円,-,-,リブマックス神田店(株)リブマックスリーシング,03-5295-1515
